id,filepath,description,link,tags,year
1,04 Low Resolution.jpg,Recreating movie posters from the screenplay,https://colorcodedfilms.etsy.com,R Prints,2024
2,05 Draw Genuary.jpg,For Genuary: an interactive text drawer using shapes,https://dr-iggs.shinyapps.io/Text_to_Boxes/,R Shiny,2026
3,MurphyGuessr.png,A simple webgame where you’re placed on Google Street View and have to guess which MurphyUSA store it is.,https://dr-iggs.github.io/MUSAGuessr/,JS Geospatial MUSA,2026
4,15 Shadow.gif,For Genuary 2026: prompt of -Shadow-,,R GenArt,2026
5,Asset Age Within Markets.png,Comparing various store markets and the age of individual assets within each store,,R BusinessAnalytics MUSA,2026
6,Custom District Spatial.png,Custom geospatial viz of actual store districts for easy comparison of performance,,Python PowerBI Geospatial MUSA,2025
7,pbi d3 viz.png,Custom d3 visual tracking how customers responded to different tiers of discounts,,D3 PowerBI Python MUSA BusinessAnalytics,2025
8,randomized storenum dallas.png,Company research studying how different stores within the same market perform over time as they age. Part of $3M store reinvestment project,,R MUSA BusinessAnalytics,2026
9,08 Cityscape.png,For Genuary 2026: prompt of -City-,,R GenArt,2026
10,19 16x16.png,For Genuary 2026: prompt of -16x16-,,R GenArt,2026
11,Consolidated Trade Area Polygons.png,Exported & Consolidated PlacerAI information for stores into our main AssetDev platform for demographic analysis,,R Geospatial MUSA,2026
12,Survival Analysis.png,Company research on the impact of pay increases on cashier retention,,R BusinessAnalytics MUSA,2024
13,upside cpg over time.png,Led to securing $8M advertising deal: 3rd party research on how Upside fuel discounts shift as customers continue using the platform.,,R Excel MUSA BusinessAnalytics,2025
14,Asset Age by Market.png,Part of $3M store reinvestment: How competition and store performance interact in different markets with varying asset ages.,,PowerPoint Excel MUSA,2026
15,Store Competitor Impact.png,Part of $3M store reinvestment: How competitor entry influenced 300 different stores.,,PowerPoint Excel MUSA,2026
16,cintas bathroom.png,News article aggregating Cintas Best Bathroom Award winners,,R WebScraping Journalism,2023
17,disneyanimated.gif,Article for Disney turning 100 about their impact on industry and consolidation,,R WebScraping Animation,2023
18,disneystatic.png,Article for Disney turning 100 about  their impact on industry and consolidation,,R WebScraping,2023
19,housingscatter.png,Idaho Press Club Winner for Best Student Investigative Piece on student housing management,,R Excel Journalism,2023
20,Housing.png,Idaho Press Club Winner for Best Student Investigative Piece on student housing management,,R Excel Journalism Geospatial,2023
21,hackathon.png,Hackathon Winner: a program to recognize quotations within journal entries,,Python History,2023
22,phd.png,Supported a PhD on how to better assess and support education majors,,R Research ,2024
23,tableau.png,Visualizing the Magnificat by Bach through dotplots,,Tableau GenArt,2022
24,voterturnout.png,Article on voter turnout for various college towns across the USA Mountain West,,R Excel Research Journalism,2023
25,conf26jesus.png,Summary of how when different religious speakers spoke about Jesus in the 2026 LDS General Conference,,R LDS,2026
26,nelson5.png,Web-scraped images of Russell M. Nelson across 40 years of church conferences,,R LDS WebScraping,2024
27,notforyou.png,Exploration of ggplot text based on House of Leaves,,R GenArt,2024
28,pentagonpapers.png,Named Entity Web based on references within the Pentagon Papers,,Python ML,2023
29,riverusa.png,Displayed at 2025 South Arkansas Arts Center exhibit,,R Geospatial Prints,2025
30,romeojuliet.png,Displayed at 2025 South Arkansas Arts Center exhibit (insert),,R Prints,2025
31,ohio.png,Hackathon Winner: map and resource to target potential voters,,Python ML Geospatial,2023
32,green.png,Generative study on rectangles and color,,R GenArt,2024
33,Idaho.png,Displayed at 2025 South Arkansas Arts Center exhibit (insert),,R Geospatial Prints,2025
34,woodruffmap.png,Recognizing locations named in historical journals,https://wilfordwoodruffpapers.org/map,Geospatial Python History,2023
35,jesusnames.png,Summary of how different religious speakers spoke about Jesus in the 2023 LDS General Conference,,R Journalism,2023
36,sonify.png,Student project on generative music,https://dr-iggs.github.io/webdev/datamuse/index.html,Python GenArt,2024
37,chas.jpg,Memorializing my cousin through memories shared by friends,,R Prints,2025
38,circlesquare.png,Study on geometric shapes,,R GenArt,2025
39,07 Boolean Logic.png,For Genuary 2026: prompt of -Order and Disorder-,,R GenArt,2026
40,11 Quine.gif,For Genuary 2026: prompt of -Quine-,,p5 GenArt,2026
41,emotions.png,Text analysis to recognize the emotions of journal pages,,Python ML History,2023
42,primeportrait.png,Turns self-portraits into prime numbers,,Python GenArt,2024
43,oscarnom.png,Breakdown of Best Picture nominees & Winners,,R ,2023
